job,专业,性格,软件技能,工作内容,品质
广告创意文案,"广告创意文案
无",浪漫主义者、人文关怀者,无,服务全世界范围内的一线品牌实现广告理想,超乎常人的通感和共情
创意文案策划,"创意文案策划
[美妆护肤品行业、4A广告创意文案背景",头脑灵活、创意丰富,无,策划营销活动文案、撰写创意文案,具备营销活动策划及创意能力、团队协作精神]
文案策划,"文案策划
[新闻、传播、市场营销、广告学等相关专业",有创意、逻辑性强,小红书、抖音、视频号等平台操作,产品文案与品牌营销、社交媒体推广,数据导向、创意能力、沟通能力]
广告文案策划编辑,"广告文案策划编辑
文笔好，新闻，广告等专业优先
无
文案创作，企业展厅全案策划，宣传片，宣传册，画册撰写，提案。宣传稿，策划编辑，广告文案，品牌文案等一系列的相关工作
创意意识，清晰的思维能力，视频剪辑制作",无,无,无,无
广告文案,"无
无
平面设计，视频制作，Adobe Illustrator
创作广告文案，设计平面广告和视频广告
审美能力，创意能力，国际视野",无,无,无,无
广告文案,无,无,无,PPT设计文案宣传PPT方案呈现,创意能力
电商文案策划,"电商文案策划
[营销或广告创意等相关专业",创新、思维活跃、有创造力,数据分析能力、文案表现能力,主导产品文案策划、爆品打造、大促活动策划、渠道内容运营维护、数据复盘,脑洞大、创新能力、逻辑清晰]
高级资深文案（达人）,"高级资深文案（达人）
[无",思维活跃,Word、Excel、PPT,挖掘产品的卖点、亮点、人群痛点、结合当下热点创作产品内容；了解美容仪、美妆、个护等行业，知晓全网最新最热的产品信息、分析产品卖点、整理产品资料；挖掘产品卖点与亮点，定制产品种草话术以及互动玩法；辅助达人进行脚本输出，审核视频等,文字撰写编辑能力、设计、审美、表达逻辑感强、独立文案策划能力、营销意识、创新、品牌塑造意识、熟悉美妆个护行业规则和广告法、抗压能力、团队协作能力]
资深文案策划(J13195),"资深文案策划(J13195)
[广告、传媒、中文、市场营销",创新思维、学习能力,Word、Excel、PPT,创意策划、市场调研、内容创作、视觉设计、项目执行、团队协作,文字功底、创新思维]
短视频文案/编导,"短视频文案/编导
[无",沟通协作能力强、学习能力强、做事细心、责任感强、自我驱动能力强,无,内容策划、脚本/文案撰写、视频拍摄协助、用户属性研究、素材管理、临时任务完成,具备优秀的模仿和改变和执行能力]
广告文案创意,"广告文案创意
[广告学本科学位、广告公司工作经验、对营销和广告有强烈兴趣、理解和见解、文案功底、独特的文风、策划总监需求]",无,无,无,无
新媒体文案编辑（双休）,"新媒体文案编辑（双休）
[广告／传播／编导系、新闻系、中文系优先",有网感、对内容敏感、逻辑清晰、做事细致、有服务意识、良好的语言表达能力和沟通理解能力,无,撰写不同风格、类型的文案，如产品文案、品牌文案、宣传文案、短视频拍摄脚本等，适用于发布在朋友圈、抖音、快手、视频号、信息流等各类新媒体推广平台,能够有效提炼并写作商业类视频的主题内容与价值点]
广告文案策划,无,无,PPT软件,活动方案撰写、创意,无
广告文案策划,"广告文案策划
无",沟通能力,新媒体传播模式、社会化营销,社会化营销策划和执行、参与brief、客户沟通,对娱乐行业热点的了解、创意思维
广告文案,无,创意、文案能力,Photoshop、Illustrator,撰写汽车相关内容，网站内容策划与编辑,创意、沟通能力、对汽车行业有了解
文案策划,"广告、新闻、中文等相关专业
创意、执行力强
PS/AI
负责品牌整体活动策划，内容传播效果分析，品牌文案的撰写及审核
文字表达能力强，熟练运用办公软件，有创意，靠谱",无,无,无,无
广告文案,"广告文案
[新闻、广告专业",无,抖音,撰写抖音带货短视频文案,创意、文字表达能力]
广告文案,"广告文案
文秘、广告、新闻学",文笔佳、有创意、活跃思维,微信公众号、抖音、小红书、知乎、头条,撰写新媒体文案、创意发想、客户需求对接,知识面广、学习能力强、团队意识
新媒体文案专员,新闻、传媒、编导、广告等专业优先,活泼开朗、沟通执行力强、有耐心、责任心,掌握小红书等其他新媒体相关平台的基本操作,负责小红书官方账号的运营、日常内容产出、编辑、发布、维护、管理、互动、提高影响力和关注度,审美、热爱写作、持续性的喜爱文字工作
广告文案策划,"广告文案策划
[无",综合素质强悍,无,负责重要项目的创意构思文案及客户提案、协助项目组进行创意提案、执行并监督所负项目的创意构思和文案,爱思考能执行，耐压耐摔]
资深文案策划(J13195),"资深文案策划(J13195)
[广告、传媒、中文、市场营销等相关专业",无,Word、Excel、PPT,创意策划、市场调研、内容创作、视觉设计、项目执行、团队协作,较强的学习能力、良好的文字功底、语言组织能力、创新思维、策划能力]
文案策划实习生（市场助理）,[广告、传媒、中文、新闻类专业,文笔优秀、喜欢写作、思维活跃、具备创新精神和独立思考能力,无,新媒体、社区内容编辑文案策划及撰写; 社群主推商品核心卖点提炼、详情页、渠道物料策划与文案撰写; 各项活动策划、执行; 协助处理日常行政事务、接待、文件起草,具备岗位积极能动性，主动性，致力于公司业务发展，富有团队合作精神]
资深广告文案策划,"无
无
PPT方案策划能力
参与公司提案策划与竞标，具备PPT方案策划能力和讲稿能力，熟悉品牌在互联网的玩法
责任心强，团队协作能力，极强的创意输出能力，适应能力强，对新鲜事物毫不抗拒",无,无,无,无
无,无,无,具有Social / Digital品牌全案传播策略、网络行销方案撰写能力；有丰富的互联网营销经验，熟悉互联网社交网络应用，进行网络软性推广活动（事件营销、话题营销等）策划；对社交网络推广效果评估分析，并调整策略。,至少1年或以上广告从业经验，精通各种social及线上传播；plan base，4A工作经验者优先；具有出色的文案表现能力，及优秀的策略、提案与沟通力,无
广告文案策划,"广告文案策划
[无",独立、创新,无,对接项目方案、产品传播分析、完成项目推进,审美、独立认知、热爱探索和创新]
资深品牌文案策划（五险一金 品牌方）,"资深品牌文案策划（五险一金 品牌方）
[无",有,小红书、抖音、得物、天猫、淘宝、京东等线上平台文案经验,图文、视频内容策划；页面优化升级；赋能公司各阶段活动的文案策划；品牌大事件营销规划和运营管理,高效的文字功底；丰富的想象力和创造力]
文案,"文案
[新闻传播或者中文专业",无,小红书、抖音,负责对公司旗下自媒体账号内容输出做规划，对产品卖点进行深入挖掘，进行产品的编辑、策划及优化，有良好的理解力和沟通能力],无
文案策划专员,"文案策划专员
[广告、会展、规划、新闻、汉语言文学、中文、旅游",良好的沟通能力、责任心强、学习能力强、能适应较强的工作压力，并能吃苦耐劳、高度团队合作精神,PPT,"对接客户，创意构思、文案及客户提案，统筹项目进程，策划文案和文案撰写、展馆、活动、会展会议、文化建设、广告、品牌推广、运营规划等项目的提案经验、审美能力]
",无
电商文案策划（淘系）,"电商文案策划（淘系）
[汉语言文学、广告学、新闻学等相关专业",无,天猫后台,逐本天猫旗舰店文案内容，深度挖掘产品卖点，制定详情页爆款内容和营销机会点，制作天猫店页面线框文案，输出素材策略,优秀的沟通表达能力，独立承担内容规划全链路工作]
广告文案,"广告文案
广告、市场营销、传媒相关专业
有冲劲、有创造力、有团队合作精神
MS Office、Adobe Creative Suite
负责公司产品文案、品牌文案、项目文案的创意和脚本撰写；与客户对接创意需求并更进需求变化，负责客户提案；与公司内部前期拍摄及后期制作的对接，实现客户需求
策略思维、创意发散能力、深刻的洞察力、优秀的表达沟通能力、了解熟悉网络特性和网络文化、对网络营销具备一定的经验、熟悉各种网络营销的手段和方法",无,无,无,无
文案,"广告设计与营销
[无",有创意，思维敏捷,PS，AI,配合公司执行官网、微博、微信营销线上及线下活动；负责公司网络平台热点内容编写；维护官网、微信等社交平台，提高关注度；参与公司企业形象，品牌定位，市场推广等；负责品牌的平面设计；],优秀的文字表达能力，良好的观察能力，沟通协调能力
电商文案策划（偏传播+编导方向）,"电商文案策划（偏传播+编导方向）
[传媒、新闻、广告互联网等相关专业",积极主动、结果导向、抗压能力强,视频剪辑,内容选题、文案撰写、数据分析、运营计划,市场洞察力、沟通与协作能力]
"资深广告文案
[无",敏锐的洞察力,无,深入理解品牌沟通策略，提供产品创意，提炼核心卖点；负责新媒体内容体系，把控内容调性和品质，对整体的内容质量负责;文字功底强，文字风格能适应不同平台和账号定位，包括公众号文章，公关文、长海报文等，并能保证持续高质产出;负责日常内容策划、选题制定、内容撰写或审核；挖掘用户关注的内容需求，完善内容业务流程和质量标准;制定有效方案提升内容内容生产的数量、质量及活跃度;参与策划并执行新媒体账号的日常活动，帮助粉丝活跃提升和活动效果提。熟悉新媒体及移动互联网发展趋势，并有长期发展意向升,负责新媒体广告创意策划媒体广告乙方经验视听广告甲方经验,有3年以上广告公司、品牌方、内容策划及文案类创意工作经验；敏锐的洞察力，能抓住社会化媒体、事件、话题等，完成概念文字的创意；简历请附原创作品集]
品牌/文案策划（双休 五险一金）,"品牌/文案策划（双休 五险一金）
[无",有趣、敏锐、严谨、善于团队沟通协作,无,根据品牌客户需求定制整合营销方案、维系KA客户、跨部门高效沟通协作、公司服务为美容个护/时尚运动/数码家电/电商平台解决方案,有广告行业经验、有出色的方案撰写能力、善于团队沟通协作、对广告行业的千变万化感到沉迷]
资深房产广告文案,"资深房产广告文案
无",文字功底、想象力、创造力、市场洞察力、思维能力灵活,无,撰写房产广告文案、分析市场行情、团队协作、独立操作,团队协作能力、文字功底、市场洞察力
资深文案,"资深文案
[广告学、新闻传播等相关专业本科以上学历",踏实稳重、工作细心、责任心强、有较强的沟通协调能力和良好的团队协作精神,熟悉网络营销，熟悉传统媒体、自媒体、新媒体等宣传渠道和工具,品宣规划、方案实施、渠道管理、宣传资料管理、团队管理,独立的新闻撰写和内容策划能力，文字功底扎实]
广告文案,"广告文案
[无",有同理心、客户导向,无,撰写策划案、商务对接、沟通指导,创意思维、沟通能力、责任心]
广告策划,"广告策划
[无",热情开朗、上进心、沟通力、执行力、团队精神,社会化媒体营销,广告创意与文案撰写、海报、宣传手册、产品介绍、视频脚本、营销推广文案、社会化媒体事件营销和跨界营销策划、活动策划、推广等,独特洞察力、挖掘卖点、易于传播的广告文案和营销话题]
电商文案,"汉语言文学、广告学、新闻传播学
    优秀的文案写作能力，出色的文字组织能力，内容创作能力
    负责公司电商店铺首页、详情页、主题页等文案策划、商品广告方案及其他宣传文案的编辑与输出；挖掘产品的卖点及亮点，商品具体内容的策划和编辑；执行内容运营，内容种草，微淘内容撰写等；收集市场和行业信息
    能独立撰写营销活动方案，具备优秀策划能力及PPT撰写技巧，关注并能综合分析客户品牌/竞品等各方面信息及行业动态，富有责任心，工作认真细致，良好的团队协作意识",无,无,无,无
医美文案专员（实习生）,"医美文案专员（实习生）
[汉语言文学、新闻、广告等相关专业",发散性创意思维、善于独立思考、善于沟通、团队合作意识,无,完成项目文案撰写、跟进项目工程进度、收集整理资料、参与策划制定活动并执行、抖音、小红书等文案撰写,良好的写作功底、过硬的文字驾驭能力]
文案策划（童话梦幻风格）,"文案策划（童话梦幻风格）
[无",有创意的风格,无,主要负责策划生产符合品牌调性的产品介绍内容、精通策划落地相关运营策略；主动挖掘并策划文章选题、文案框架，策划、撰写、把控与品牌产品相关的文字内容，包括私域商品产品详情页、私域活动文案、banner、品牌手册、产品手册等，对内容质量、效果负责，直至项目上线或落地；把控品牌宣传文字的输出，协同参与品牌产品及活动的创意策划；策划并参与品牌线下活动，从线下引流到线上，辅助完成小红书关注数量、产品销售额 kpi等。,无]
广告文案,"广告文案
[无",创意、沟通能力,无,策划营销活动、文案撰写、市场调查,创意能力、沟通能力、语言表达能力]
电商文案策划编辑,"电商文案策划编辑
[中文/广告/营销/电子商务/传播专业",审美、创新能力、沟通能力,文案排版工具、办公软件、初步设计工具,产品文案编辑、渠道平台文案策划、品牌创意文案执行、品牌内容策划、跨部门协作与沟通,市场分析能力、团队合作能力]
公众号文案编辑,"公众号文案编辑
[无",商业思维、策划能力、创新能力、抗压能力、严谨、认真负责,微信公众号后台素材处理、排版推送,公众号原创内容的策划、撰写、包括直播预告文、日常文、广告文和视频脚本等,文字功底、互联网和社区网络特性、网络流行文化认知]
广告文案,"广告文案
中文、传播学、新闻学、广告学、历史学等本科专业，研究生及以上学历优先
思维灵敏、逻辑性强
无
负责品牌内容、客户提案的撰写、策略制订和执行、项目进度跟进、沟通协调配合
深厚的文字功底、独立思考能力、工作踏实、保持工作热情",无,无,无,无
新媒体文案编辑,"新闻、中文、广告、市场营销等相关专业优先
    善于捕捉热点
    熟悉ps基本运用
    负责文案编辑及排版；文案撰写及线上创意策划；数字营销规划；推广效果分析
    文字功底强，审美能力强，沟通能力好，抗压能力强",无,无,无,无
文案专员,"文案专员
[中文、广告、市场营销、新闻传播等相关专业优先、大专及以上学历",具备良好的沟通能力和团队合作精神、责任心强、对电商行业充满热情、快速适应变化,Office、SEO/SEM基础知识,产品文案撰写、营销活动策划、SEO/SEM优化、数据分析与反馈、竞品分析与市场洞察、跨部门协作,良好的沟通能力和团队合作精神，责任心强，能够承受一定的工作压力，快速适应变化]
资深文案策划师,"资深文案策划师
[无",沟通技巧,无,产品营销策划、品牌电商平台店铺营销文案策划、消费者心理分析,工作细致、执行力强、团队合作精神]
资深文案,广告、新闻学 , 发散型创意思维，良好的文字驾驭能力 , 互联网操作技能 , 撰写广告文字及宣传性软文；微信公众号日常运营；活动策划；市场调研分析；撰写活动策划方案 , 市场分析能力，沟通能力，团队合作意识
品牌文案策划专员,"品牌文案策划专员
[汉语言文学等相关专业",洞察力强、责任心强,无,制定产品内容策略、新媒体文案输出、品牌文案输出,文字功底、洞察力、审美能力]
品牌策划,"品牌策划
[无",独立思考、沟通能力,无,品牌推广策划、品牌资产积累和呈现、品牌文案内容策划、市场研究分析、输出新品上市策略规划、品牌媒体发布或公关内容稿,执行力、创造性思维、沟通能力]
新媒体运营策划专员,"新媒体运营策划专员
无",细心，有创意,抖音，微信，小红书,门店抖音短视频的拍摄和剪辑，微信朋友圈的运营，小红书账号的维护,创意，执行力，沟通能力
文案策划,"汉语言文学、广告学、新闻传播学
无
视频剪辑
1.负责新媒体各平台文章和新闻采访稿撰写；
2.搜集、整理产品资料，挖掘提炼产品卖点；
3.针对行业热点策划选题、发布推文；
4.协助完成品牌推广及文案策划
无",无,无,无,无
餐饮市场策划专员,"餐饮市场策划专员
[市场营销类专业",自驱性、结果导向,无,新市场新店/新品营销、门店广宣物料管理、区域营销活动、市场分析,项目管理能力、执行力强]
产品策划专员,"产品策划专员
[无",沟通能力、逻辑思维能力、学习创新能力和语言表达能力、工作积极主动、责任心强、计划性和执行力强,小程序、APP类产品设计和开发流程、AxureRP、Visio、Mindmanager、Office,制定产品发展规划和阶段性目标、撰写产品相关ppt、文案、宣传物料、跟踪产品开发进度、进行用户需求分析和数据分析、撰写产品设计文档、跟进厂家产品开发、协调市场、研发等部门、协助解决开发过程中的问题、进行产品功能测试、发布、优化、搜集用户反馈、分析用户行为、提升产品用户体验、协调市场、研发等部门，分析竞争对手、制定产品的发展规划和阶段性目标、挖掘产品亮点与卖点、参与新项目的创意策划、整理项目相关图文资料、线下活动组织,物联网工作/加盟招商类产品工作背景优先、工作经验3年及以上，全日制本科及以上学历，熟悉市场分析、文字功底、想象能力、市场新事物、新动向敏感度]
新媒体文案策划,"新闻、中文系、市场营销
    细心、创新、沟通能力强
    无
    负责公司品牌传播文案的编写；负责微信公众号运营；负责新媒体矩阵的内容运营；负责营销活动的文案策划
    语言组织能力强，文字表达能力优秀，独立完成各类原创文案，良好的沟通能力，学习能力强，团队精神佳，能承受工作压力",无,无,无,无
文案策划（达人脚本）,"文案策划（达人脚本）
[无",细心、有创意,无,撰写销售物料、达人定制脚本、爆款文案、内容更新,细心、有创意、良好的文字表达能力、市场分析能力]
,"这个职位描述是无
无
[无",无,无,无,无]
文案策划,"文案策划
[无",有自我驱动力和担当意识,具备基本的职场素养及较佳的沟通能力,日常内容输出、活动文案内容策划、配合设计师、摄像师承接工作安排、完成创意策划的文字落地,具有一定的选题能力，较好的文字功底，有网感，熟悉各大自媒体平台，具备一定的审美能力]
文案策划,"文案策划
[无",敏锐洞察市场动向、具备内容创新力和执行力,熟悉微博、小红书、抖音、B站、微信公众号运营及内容玩法,IP运营、IP孵化、项目统筹、营销协作、短视频策划编导,具备相关资源或合作经验、对结果抱有责任心与成就感]
文创产品策划专员,"文创产品策划专员
[工业设计，美术学，文化创意设计，美学，插画等设计类相关专业",无,无,负责年度产品开发计划的制定，市场调研，负责品控管理，负责与协作单位设计需求对接,有2年以上相关工作经验]
新媒体运营专员,"新媒体运营专员
【无",积极、有创新意识,微博、微信,制定部门的运营策略、执行推广活动、数据分析、营销策划、PR工作,具备一定的数据分析能力、文字编辑、创作能力突出】
文案策划（护肤品类）,"文案策划（护肤品类）
[新闻、中文、广告等相关专业优先",思维活跃,无,分析把握消费市场需求，规划产品各项内容建设；完成公司美妆产品卖点提炼、产品描述、成分功效、产品推广软文撰写，各电商平台产品详情页起草与编辑，并跟进详情页设计制作上传；协助拼多多，小红书，快手，抖音等内容输出；维护各平台产品信息；定期跟踪收集市场竞品信息，协助部门主管不断调整、完善产品策略与方案,良好的沟通能力和团队协作精神，工作踏实、勤奋]
财经文案编辑策划,财经相关专业,文字功底,微信、抖音运营模式,文案、脚本撰写、视频发布、粉丝维护,策划能力、数据分析能力
市场品牌管培生（内容策划方向）,"市场品牌管培生（内容策划方向）
[市场营销、新闻传播、广告学",具备良好的责任心，善于沟通，主动思考,抖音、小红书、B站等媒介账号运营,负责不同平台的达人营销投放，制定基于达人渠道的内容营销策略，进行投后数据效果分析和复盘，搭建并优化达人投放流程,敏锐的网络洞察力，良好网感，积极热情，解决问题能力]
短视频文案策划,"短视频文案策划
[无",无,抖音、小红书等,抖音品牌号主页视频脚本、千川脚本的策划与撰写，关注当下网络热点，拆解同行爆款内容，分析总结并以创新运用，负责策划撰写推广产品内容，后台维护，相关类型内容搜集，粉丝评论互动，数据复盘、分析、总结，并做出相应的调整，熟悉主流新媒体平台的流量特点、变化趋势、引流规则，制定运营策略，策划推广活动，与粉丝互动有效提升粉丝数量，负责内容的运营，内容判断力强，熟悉新媒体平台运营逻辑，有较强的用户分析能力，能够准确洞察用户的内容偏好，具有独立的的策划、组织及项目管理能力，能完成项目的方案策划、执行等工作，能策划爆款，对随机热点事件进行快速响应和延展运营策划，对数据敏感度强，通过数据不断优化内容推荐运营善于从数据中发现问题并提出优化建议,无]
品牌策划,"品牌策划
【专业】广告、市场营销专业优先
【性格】具有出色提案能力和沟通技巧，商业敏感性
【软件技能】无
【工作内容】制定调整品牌发展策略、品牌推广计划与管理、参与品牌活动方案策划与执行、宣传物料策划及制作、收集分析数据优化品牌策略
【品质】品牌意识强，团队意识、责任心、进取心，高悟性",无,无,无,无
资深品牌专员,"资深品牌专员
[广告学/市场营销",无,无,负责产品定位、卖点提炼、场景挖掘与产品营销语言的包装与撰写，确保产品内容可以清晰准确的传播，助理产品销售；协同相关部门策划产品上市推广，包括整体上市时间轴，基于产品卖点输出产品传播和上市策略；协助leader 根据品牌及产品推广需要，整合公司内外部资源，并根据品牌情况进行用户洞察和市场分析，创意策划并落地各大型营销项目；运营品牌官方自媒体矩阵，负责自媒体内容文案的撰写及物料跟进,无]
文案策划专员(J10739),"文案策划专员(J10739)
[广告、传播、市场营销",敏感、创新,微信公众号、微博、头条,负责市场策划模块内容相关的文案工作，结合宣发主题定位编写官方宣传文案，挖掘和分析用户对文案的感知，不断思考编写高质量高传播性的文案,文字编写能力、学习能力、创新能力]
执行文案策划,"文案策划
无",细致、有责任心,无,展厅/展览数字内容后期执行对接，撰写讲解词，完成临时任务,沟通能力、团队合作精神
自媒体运营专员,"自媒体运营专员
[无",三观正、自驱力强、吃苦耐劳、跨部门沟通协调协作,PS、AI、PR、AE,熟悉自媒体平台的运营玩法和内容制定、及时推出热点文章、收集采编工作、撰写传播性强且符合品牌风格的推广文案、数据分析并提出优化方案、粉丝互动、联动关联账号、引粉增粉,有较强的文案能力、互联网行业用户管理实操经验、私域流量运营经验优先]
医美文案策划,"专业：无
性格：有创意、有想象力、有执行力
软件技能：无
工作内容：策划医生项目包装、品牌包装、活动包装
品质：创新能力、团队合作能力、沟通能力",无,无,无,无
"电商文案策划
[无",具有抗压能力,对抖音平台有深入了解；善于捕捉热门视频,策划短视频内容；撰写创意脚本；详情页文案撰写,创意观点提出合理化；服务客户优先,工作责任心强；耐心细致；较强的执行力]
品牌策划经理,"品牌策划经理
[广告、传媒、市场营销、中文",创意、沟通、学习能力,办公软件、文案创作工具,主导广告项目文案创意和策划、撰写品牌核心文案、审核优化团队成员的文案作品、与跨部门团队合作、跟踪分析广告文案效果、参与行业研讨会和培训,文字驾驭能力、对市场趋势和消费者心理深刻理解、团队协作精神、学习能力和自我驱动力]
电商文案策划,"电商文案策划
[无",无,无,"""1、主要负责小红书、微博、公众号等自媒体平台内容输出；2、负责公司电商平台店铺日常品牌文案，包括页面产品展示文案、促销信息、描述文案、产品详情页、主图、推广素材的撰写；3、参与公司店铺电商大促活动策划及页面撰写和复盘（包括618、双11、年货节等重要截点活动）""","""扎实的文字功底，具备优秀的文案创意构思、编辑整理和撰写的能力，思维活跃，逻辑性强，能够准确挖掘品牌传播和产品营销亮点；具有较强的沟通能力、理解能力、学习能力和团队合作精神""]"
策划专员,"策划专员
无",自驱力,抖美大本地生活团购规则、office系统,新店开业活动策划、老店业绩提升策划、品牌形象标准统一化的宣传与推广、提高和完善品牌形象、公司平台品牌宣传、抓取抖音小红书流量及公众号撰写,配合度高、自驱力强
天猫店铺文案策划,"天猫店铺文案策划
[无",良好沟通能力,无,负责文案策划、内容编辑和优化、与设计和运营协作、分析消费者行为、提出创新修改、协助其他文案工作,"有高端品牌文案策划经验]
"
品牌策划主管,[广告、设计、新闻传播、市场营销等相关专业,具备表达沟通和项目管理能力,无,策划公司线上线下市场品牌活动、制定品牌活动策略、监控、优化、管理媒体和制作供应商,具备大型品牌宣传活动经验、良好的审美能力和平面设计能力]
文案策划专员,"文案策划专员
无",创意、执行力,无,市场活动创意策划与执行、文案、稿件创意与落笔、活动落地执行,沟通能力、创意能力
小红书、视频号运营专员,"小红书、视频号运营专员
【专业】无
【性格】具有审美能力，创意，团队合作意识
【软件技能】短视频剪辑，图片处理
【工作内容】品牌形象管理与传播，账号运营与数据提升，内容策划与定位，广告投放与效果跟踪，竞品分析与策略制定，新平台玩法研究与复盘，店铺运营与流量转化
【品质】具备出众的审美能力，文案表达能力优秀，数据分析和项目策划能力，团队合作意识和执行能力。",无,无,无,无
小红书运营专员,"小红书运营专员
[无",无,PS/AI,负责小红书平台的内容策划与运营，提升品牌影响力和用户互动；管理和优化小红书账号，提高内容曝光率和用户参与度；跟踪分析数据反馈，调整运营策略以满足市场趋势和用户需求。,具备良好的视觉审美和创意思维、团队管理能力、熟悉后期剪辑技术，能够进行内容编辑和质量提升]
短视频剪辑专员,"短视频剪辑专员
[传媒类编导、后期制作",有进取心、责任心、有吃苦耐劳的精神,Photoshop、PR、剪映、AE,独立完成短视频后期制作任务，为公司业务提供内容输出，定期研究网络平台上的优质短片，熟练操作各种图片、视频处理软件,创意、策划能力，丰富的想象力与创新力]
小红书运营专员,"小红书运营专员
[对口语言类专业优先",外形良好，性格开朗,无,负责小红书账号运营、文案撰写、数据分析、内容规划、完成目标,敏感度高，良好的接受能力]
无,沟通能力强，团队合作，创新思维，思考能力,图片拍摄和剪辑经验，文案撰写能力,账号矩阵运营和规划，内容创作，了解小红书玩法，产品文案策划,具有0,1搭建账号与团队的经验，审美好，沟通能力强，创新思维，落地对效果产出负责
小红书运营,"小红书运营
[市场营销、广告学、传播学、新闻学等相关专业",善于沟通，积极坦诚，执行力强、逻辑能力强，能够独立思考并独立完成工作，愿意接受挑战,无,内容运营、内容创意、矩阵运营、数据分析、数据投放,具有良好的营销策划、文案撰写能力和数据分析能力，具有优秀的创新意识和能力
小红书运营专员,"小红书运营专员
无",有创意、有执行力,小红书平台,内容策划、数据分析、用户互动、账号管理,沟通能力、执行力、数据分析能力
小红书内容运营,"小红书内容运营：
[广告传媒、新闻影视及市场营销专业优先",有较好的文案功底和审美,熟悉小红书的运营规则,负责小红书账号内容策划与输出、笔记种草，对内容质量和种草效果负责；根据选题要求，创作主题系列内容，围绕账号定义做相关的更新和专题策划；分析竞品账号运营内容，分析粉丝特质、规划账号运营方向，提高曝光，获取流量；小红书账号推广模式与渠道的探索，了解用户需求，分析用户行为，跟进用户反馈和评论，及时回复和解决问题，建立良好的用户互动,善于观察和挖掘IP特点，富有创作热情，工作态度积极有责任心；具备良好的团队协作意识及较强的理解沟通能力、强烈的团队合作意识]
小红书运营专员,"小红书运营专员
【无",沟通表达能力强、团队协作精神、执行力强,小红书平台、推文排版、图文设计、视频剪辑,宣传推广与文案撰写、企业产品及活动策划、小红书运营、拍照、拍视频、编辑文案,具有文案策划功底、创意能力、视觉审美能力、对酒旅行业了解】
小红书运营,"小红书运营
无",结果导向,剪映剪辑,小红书账号规划、撰写、发布及用户运营,良好的网感
抖音广告，小红书获客运营,无,无,无,无,无
小红书运营专员,"小红书运营专员
[无",开朗活泼,美图秀秀、剪映、抖音、微博、小红书,短视频内容的拍摄、剪辑和制作,审美、沟通能力、适应快节奏]
新媒体运营专员,"新媒体运营专员
[无",活跃、有责任心、自驱力强、抗压性强、有良好沟通表达能力和团队合作意识,无,0,1孵化小红书、抖音、公众号、视频号、社群等平台；根据要求完成品宣文案创作、编辑并形成完整推文进行各平台宣发和传播，吸引B端渠道，种草C端用户；策划线上涨粉活动，提高账号影响力；对接外部投放，协助产出相应视频、图文等；负责培训销售团队协助运营线上引流种草C端
新媒体运营专员,"新媒体运营专员
[无",风格简约大方明朗，符合当下流量需求,微信公众号、视频号，小红书，抖音,发布内容到多个平台，有扎实的文笔，擅长营销，热爱乡村,无]
小红书媒介经理,"小红书媒介经理
【无",有独立策划并执行的项目案例尤佳,无,制定并落地小红书媒介策略和投放工作，对投放结果负责，负责搜索词增长、头部媒体的覆盖率及流量数据，制作爆款内容并审核投放素材，监控投放数据并分析调整广告投放策略、持续优化内容点击率与流量变现能力,具有独立策划并执行的项目案例尤佳，有MCN机构、美妆快消行业媒体及KOL媒介资源优先，具有较强的洞察力、项目统筹能力、拿结果能力、抗压性】
小红书运营主管,"小红书运营主管
[无",思维逻辑强、对互联网文化敏锐度高、准确地把握用户心智,熟悉小红书平台规则特性、内容种草平台特性、定期分析小红书最新玩法,内容策划与制作、用户增长与互动、数据分析与优化、品牌合作与推广、市场调研与竞争分析、定期组织部门复盘,文字功底、审美能力、创意和网感、拍摄剪辑和运营能力]
小红书投流运营,无,无,无,无,无
新媒体运营专员,"新媒体运营专员
无",有团队合作精神,图片及视频编辑软件,公众号、小红书、官微视频号&朋友圈的帐号规划、内容运营及维护、公司官微视频号、小红书直播、社群运营内容编辑、照片及视频拍摄、剪辑制作,文字表现能力、拍照及摄影能力、工作认真负责
运营专员,"运营专员
[无",活跃、文笔好、有创意,无,思维活跃、文笔好、有创意],无
平台运营专员,"平台运营专员
[无",具备用户洞察力、有运营意识,熟练运用office、wd、ps等办公软件,平台商城基础运维、商城活动策划和宣发、小红书日常运维和市场推广以及品牌形象建设、私域用户关系维护和需求反馈处理,具备一定的用户洞察力、有平台化、系统化的运营意识]
电商媒介投放专员,"电商媒介投放专员
【无",数据敏感、创意,熟悉新媒体平台属性及运营规则,新媒体矩阵的建立和推进，维护新媒体平台的正常运行，制定媒介渠道推广方案，内容投放工作，投放数据跟踪评估，媒介资源的收集整理分析,对网络热点敏感，喜欢尝试新事物，思维活跃】
小红书运营,"小红书运营
[无",团队协作能力、数据分析能力,小红书平台特性、内容创作能力,内容策划与运营、数据分析、运营策略调整,沟通能力、内容创作能力]
小红书运营经理,"小红书运营经理
[市场营销、广告学、传媒等相关专业",无,数据分析工具,制定并执行小红书平台的整体规划与运营策略、深入了解品牌调性及产品卖点、寻找并有效筛选小红书平台TOP和中腰部以上KOL/KOC达人资源、建立并优化运营数据分析体系,优秀的沟通协调能力、熟悉社交媒体传播规律、出色的文案功底]
